2013-02-14 00:14:29 status unpacked libgs8 8.71.dfsg.1-0ubuntu5.5
2013-02-14 00:14:29 install defoma <none> 0.11.10-4ubuntu1
2013-02-14 00:14:29 status half-installed defoma 0.11.10-4ubuntu1
2013-02-14 00:14:29 status half-installed defoma 0.11.10-4ubuntu1
2013-02-14 00:14:30 status unpacked defoma 0.11.10-4ubuntu1
2013-02-14 00:14:30 status unpacked defoma 0.11.10-4ubuntu1
2013-02-14 00:14:30 install gsfonts <none> 1:8.11+urwcyr1.0.7~pre44-4
2013-02-14 00:14:30 status half-installed gsfonts 1:8.11+urwcyr1.0.7~pre44-4
2013-02-14 00:14:30 status unpacked gsfonts 1:8.11+urwcyr1.0.7~pre44-4
2013-02-14 00:14:30 status unpacked gsfonts 1:8.11+urwcyr1.0.7~pre44-4
2013-02-14 00:14:30 install ghostscript <none> 8.71.dfsg.1-0ubuntu5.5
2013-02-14 00:14:30 status half-installed ghostscript 8.71.dfsg.1-0ubuntu5.5
2013-02-14 00:14:30 status half-installed ghostscript 8.71.dfsg.1-0ubuntu5.5
2013-02-14 00:14:30 status unpacked ghostscript 8.71.dfsg.1-0ubuntu5.5
2013-02-14 00:14:30 status unpacked ghostscript 8.71.dfsg.1-0ubuntu5.5
2013-02-14 00:14:30 install libcupscgi1 <none> 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 status half-installed libcupscgi1 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 status unpacked libcupscgi1 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 status unpacked libcupscgi1 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 install libcupsdriver1 <none> 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 status half-installed libcupsdriver1 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 status unpacked libcupsdriver1 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 status unpacked libcupsdriver1 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 install libcupsmime1 <none> 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 status half-installed libcupsmime1 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 status unpacked libcupsmime1 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 status unpacked libcupsmime1 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 install libcupsppdc1 <none> 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 status half-installed libcupsppdc1 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 status unpacked libcupsppdc1 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 status unpacked libcupsppdc1 1.4.3-1ubuntu1.9
2013-02-14 00:14:30 install libijs-0.35 <none> 0.35-7build1
2013-02-14 00:14:30 status half-installed libijs-0.35 0.35-7build1
2013-02-14 00:14:30 status unpacked libijs-0.35 0.35-7build1
2013-02-14 00:14:30 status unpacked libijs-0.35 0.35-7build1
2013-02-14 00:14:30 install liblcms1 <none> 1.18.dfsg-1ubuntu2.10.04.1
2013-02-14 00:14:30 status half-installed liblcms1 1.18.dfsg-1ubuntu2.10.04.1
2013-02-14 00:14:30 status unpacked liblcms1 1.18.dfsg-1ubuntu2.10.04.1
2013-02-14 00:14:30 status unpacked liblcms1 1.18.dfsg-1ubuntu2.10.04.1
2013-02-14 00:14:30 install libpoppler5 <none> 0.12.4-0ubuntu5.2
2013-02-14 00:14:30 status half-installed libpoppler5 0.12.4-0ubuntu5.2
2013-02-14 00:14:30 status unpacked libpoppler5 0.12.4-0ubuntu5.2
2013-02-14 00:14:30 status unpacked libpoppler5 0.12.4-0ubuntu5.2
2013-02-14 00:14:30 install libslp1 <none> 1.2.1-7.6ubuntu0.1
2013-02-14 00:14:30 status half-installed libslp1 1.2.1-7.6ubuntu0.1
2013-02-14 00:14:30 status unpacked libslp1 1.2.1-7.6ubuntu0.1
2013-02-14 00:14:30 status unpacked libslp1 1.2.1-7.6ubuntu0.1
2013-02-14 00:14:30 install poppler-utils <none> 0.12.4-0ubuntu5.2
2013-02-14 00:14:30 status half-installed poppler-utils 0.12.4-0ubuntu5.2
2013-02-14 00:14:30 status half-installed poppler-utils 0.12.4-0ubuntu5.2
2013-02-14 00:14:31 status unpacked poppler-utils 0.12.4-0ubuntu5.2
2013-02-14 00:14:31 status unpacked poppler-utils 0.12.4-0ubuntu5.2
2013-02-14 00:14:31 install cups-common <none> 1.4.3-1ubuntu1.9
2013-02-14 00:14:31 status half-installed cups-common 1.4.3-1ubuntu1.9
2013-02-14 00:14:31 status unpacked cups-common 1.4.3-1ubuntu1.9
2013-02-14 00:14:31 status unpacked cups-common 1.4.3-1ubuntu1.9
2013-02-14 00:14:31 install cups-client <none> 1.4.3-1ubuntu1.9
2013-02-14 00:14:31 status half-installed cups-client 1.4.3-1ubuntu1.9
2013-02-14 00:14:31 status half-installed cups-client 1.4.3-1ubuntu1.9
2013-02-14 00:14:31 status unpacked cups-client 1.4.3-1ubuntu1.9
2013-02-14 00:14:31 status unpacked cups-client 1.4.3-1ubuntu1.9
2013-02-14 00:14:31 install bc <none> 1.06.95-2
2013-02-14 00:14:31 status half-installed bc 1.06.95-2
2013-02-14 00:14:31 status half-installed bc 1.06.95-2
2013-02-14 00:14:31 status unpacked bc 1.06.95-2
2013-02-14 00:14:31 status unpacked bc 1.06.95-2
2013-02-14 00:14:31 install ttf-freefont <none> 20090104-5
2013-02-14 00:14:31 status half-installed ttf-freefont 20090104-5
2013-02-14 00:14:31 status unpacked ttf-freefont 20090104-5
2013-02-14 00:14:31 status unpacked ttf-freefont 20090104-5
2013-02-14 00:14:31 install cups <none> 1.4.3-1ubuntu1.9
2013-02-14 00:14:31 status half-installed cups 1.4.3-1ubuntu1.9
2013-02-14 00:14:31 status half-installed cups 1.4.3-1ubuntu1.9
2013-02-14 00:14:31 status unpacked cups 1.4.3-1ubuntu1.9
2013-02-14 00:14:31 status unpacked cups 1.4.3-1ubuntu1.9
2013-02-14 00:14:31 install foomatic-db <none> 20100216-0ubuntu3
2013-02-14 00:14:31 status half-installed foomatic-db 20100216-0ubuntu3
2013-02-14 00:14:32 status unpacked foomatic-db 20100216-0ubuntu3
2013-02-14 00:14:32 status unpacked foomatic-db 20100216-0ubuntu3
2013-02-14 00:14:32 install foomatic-db-engine <none> 4.0.4-0ubuntu1
2013-02-14 00:14:32 status half-installed foomatic-db-engine 4.0.4-0ubuntu1
2013-02-14 00:14:32 status half-installed foomatic-db-engine 4.0.4-0ubuntu1
2013-02-14 00:14:32 status unpacked foomatic-db-engine 4.0.4-0ubuntu1
2013-02-14 00:14:32 status unpacked foomatic-db-engine 4.0.4-0ubuntu1
2013-02-14 00:14:32 upgrade libglib2.0-0 2.24.1-0ubuntu1 2.24.1-0ubuntu2
2013-02-14 00:14:32 status half-configured libglib2.0-0 2.24.1-0ubuntu1
2013-02-14 00:14:32 status unpacked libglib2.0-0 2.24.1-0ubuntu1
2013-02-14 00:14:32 status half-installed libglib2.0-0 2.24.1-0ubuntu1
2013-02-14 00:14:33 status half-installed libglib2.0-0 2.24.1-0ubuntu1
2013-02-14 00:14:33 status unpacked libglib2.0-0 2.24.1-0ubuntu2
2013-02-14 00:14:33 status unpacked libglib2.0-0 2.24.1-0ubuntu2
2013-02-14 00:14:33 install libatk1.0-0 <none> 1.30.0-0ubuntu2.1
2013-02-14 00:14:33 status half-installed libatk1.0-0 1.30.0-0ubuntu2.1
2013-02-14 00:14:33 status unpacked libatk1.0-0 1.30.0-0ubuntu2.1
2013-02-14 00:14:33 status unpacked libatk1.0-0 1.30.0-0ubuntu2.1
2013-02-14 00:14:33 install libbonobo2-common <none> 2.24.3-0ubuntu1
2013-02-14 00:14:33 status half-installed libbonobo2-common 2.24.3-0ubuntu1
2013-02-14 00:14:33 status half-installed libbonobo2-common 2.24.3-0ubuntu1
2013-02-14 00:14:33 status unpacked libbonobo2-common 2.24.3-0ubuntu1
2013-02-14 00:14:33 status unpacked libbonobo2-common 2.24.3-0ubuntu1
2013-02-14 00:14:33 install libdbus-glib-1-2 <none> 0.84-1ubuntu0.2
2013-02-14 00:14:33 status half-installed libdbus-glib-1-2 0.84-1ubuntu0.2
2013-02-14 00:14:33 status unpacked libdbus-glib-1-2 0.84-1ubuntu0.2
2013-02-14 00:14:33 status unpacked libdbus-glib-1-2 0.84-1ubuntu0.2
2013-02-14 00:14:33 install libidl0 <none> 0.8.13-1
2013-02-14 00:14:33 status half-installed libidl0 0.8.13-1
2013-02-14 00:14:33 status unpacked libidl0 0.8.13-1
2013-02-14 00:14:33 status unpacked libidl0 0.8.13-1
2013-02-14 00:14:33 install liborbit2 <none> 1:2.14.18-0.1
2013-02-14 00:14:33 status half-installed liborbit2 1:2.14.18-0.1
2013-02-14 00:14:33 status unpacked liborbit2 1:2.14.18-0.1
2013-02-14 00:14:33 status unpacked liborbit2 1:2.14.18-0.1
2013-02-14 00:14:33 install libbonobo2-0 <none> 2.24.3-0ubuntu1
2013-02-14 00:14:33 status half-installed libbonobo2-0 2.24.3-0ubuntu1
2013-02-14 00:14:33 status unpacked libbonobo2-0 2.24.3-0ubuntu1
2013-02-14 00:14:33 status unpacked libbonobo2-0 2.24.3-0ubuntu1
2013-02-14 00:14:33 install libart-2.0-2 <none> 2.3.20-2build1
